timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-03-10,59.7,60.14,58.99,59.21,59.21,13737031,0.0,1.0
2023-03-09,60.54,60.54,59.275,59.46,59.46,13900858,0.0,1.0
2023-03-08,60.04,60.325,59.725,60.04,60.04,10851578,0.0,1.0
2023-03-07,60.49,60.57,59.75,60.01,60.01,13961203,0.0,1.0
2023-03-06,59.26,60.375,59.215,60.36,60.36,16282678,0.0,1.0
2023-03-03,59.55,59.68,59.205,59.44,59.44,13101766,0.0,1.0
2023-03-02,58.84,59.78,58.8,59.72,59.72,11772110,0.0,1.0
2023-03-01,59.13,59.18,58.37,58.86,58.86,13275810,0.0,1.0
2023-02-28,59.7,59.7,59.14,59.51,59.51,16082218,0.0,1.0
2023-02-27,60.18,60.3,59.74,59.82,59.82,8849821,0.0,1.0
2023-02-24,59.68,59.91,59.385,59.84,59.84,9736249,0.0,1.0
2023-02-23,60.01,60.42,59.81,60.09,60.09,12222827,0.0,1.0
2023-02-22,59.85,60.36,59.7539,59.98,59.98,12409562,0.0,1.0
2023-02-21,59.99,60.23,59.72,59.8,59.8,14278307,0.0,1.0
2023-02-17,59.5,60.23,59.38,60.12,60.12,16814652,0.0,1.0
2023-02-16,59.23,59.82,58.95,59.22,59.22,16538284,0.0,1.0
2023-02-15,59.9,59.93,59.225,59.59,59.59,13172697,0.0,1.0
2023-02-14,60.21,60.9,59.56,59.59,59.59,20505679,0.0,1.0
2023-02-13,59.9,60.76,59.73,60.6,60.6,16191786,0.0,1.0
2023-02-10,59.72,59.9,58.88,59.62,59.62,14420655,0.0,1.0
2023-02-09,60.15,60.32,59.595,59.62,59.62,12515309,0.0,1.0
2023-02-08,59.92,59.92,59.59,59.72,59.72,11012019,0.0,1.0
2023-02-07,59.67,60.24,59.535,60.07,60.07,14922741,0.0,1.0
2023-02-06,59.79,60.34,59.72,60.17,60.17,11330897,0.0,1.0
2023-02-03,60.35,60.42,59.23,59.83,59.83,15404440,0.0,1.0
2023-02-02,60.8,61.02,59.91,60.28,60.28,16947223,0.0,1.0
2023-02-01,61.14,61.58,60.62,61.33,61.33,12535439,0.0,1.0
2023-01-31,60.98,61.34,60.51,61.32,61.32,14344379,0.0,1.0
2023-01-30,60.54,61.17,60.46,60.64,60.64,15632006,0.0,1.0
2023-01-27,60.84,60.96,60.37,60.49,60.49,14087038,0.0,1.0
2023-01-26,60.81,61.095,60.57,60.81,60.81,11884834,0.0,1.0
2023-01-25,60.2,60.94,59.885,60.93,60.93,11265844,0.0,1.0
2023-01-24,60.08,63.26,59.8,60.55,60.55,10103314,0.0,1.0
2023-01-23,60.28,60.565,60.05,60.23,60.23,12613428,0.0,1.0
2023-01-20,59.72,60.09,59.4,60.08,60.08,14237702,0.0,1.0
2023-01-19,59.725,60.64,59.705,59.72,59.72,14894455,0.0,1.0
2023-01-18,61.51,61.59,59.6817,59.81,59.81,19679436,0.0,1.0
2023-01-17,61.73,62.38,61.56,61.68,61.68,18327779,0.0,1.0
2023-01-13,60.7,61.46,60.585,61.43,61.43,13986356,0.0,1.0
2023-01-12,62.11,62.18,60.97,61.21,61.21,13907327,0.0,1.0
2023-01-11,62.38,62.56,61.411,62.01,62.01,10822997,0.0,1.0
2023-01-10,62.6,62.73,61.92,62.13,62.13,10134605,0.0,1.0
2023-01-09,63.3,63.72,62.575,62.61,62.61,9442623,0.0,1.0
2023-01-06,62.91,63.67,62.58,63.4,63.4,9989986,0.0,1.0
2023-01-05,62.6,62.8,62.08,62.2,62.2,9814674,0.0,1.0
2023-01-04,63.15,63.3294,62.511,62.92,62.92,13387923,0.0,1.0
2023-01-03,63.56,63.56,62.175,62.95,62.95,12180507,0.0,1.0
2022-12-30,63.92,63.92,63.17,63.61,63.61,7650228,0.0,1.0
2022-12-29,63.8,64.15,63.7,63.95,63.95,7169256,0.0,1.0
2022-12-28,64.46,64.65,63.485,63.57,63.57,7159417,0.0,1.0
2022-12-27,63.93,64.29,63.71,64.21,64.21,7320717,0.0,1.0
2022-12-23,63.5,63.87,63.2,63.82,63.82,6463261,0.0,1.0
2022-12-22,63.42,63.59,62.645,63.34,63.34,9668107,0.0,1.0
2022-12-21,63.07,64.05,63.07,63.8,63.8,10411288,0.0,1.0
2022-12-20,62.8219,63.15,62.75,62.79,62.79,10286479,0.0,1.0
2022-12-19,62.83,63.405,62.47,62.84,62.84,10919725,0.0,1.0
2022-12-16,62.75,63.14,62.325,62.75,62.75,33631530,0.0,1.0
2022-12-15,63.59,63.89,62.49,63.11,63.11,12213292,0.0,1.0
2022-12-14,64.19,64.65,63.57,63.99,63.99,12826650,0.0,1.0
2022-12-13,64.59,64.7,63.8,63.99,63.99,17521554,0.0,1.0
2022-12-12,63.3,64.005,63.01,63.97,63.97,11647900,0.0,1.0
2022-12-09,63.61,63.84,63.09,63.14,63.14,13914856,0.0,1.0
2022-12-08,63.6,63.85,63.345,63.81,63.81,9946173,0.0,1.0
2022-12-07,63.45,63.72,63.25,63.54,63.54,12307605,0.0,1.0
2022-12-06,63.52,63.88,63.225,63.44,63.44,10099529,0.0,1.0
2022-12-05,63.41,63.795,63.26,63.47,63.47,9185090,0.0,1.0
2022-12-02,63.61,64.52,63.4,64.35,64.35,13643450,0.0,1.0
2022-12-01,63.61,64.11,63.43,63.79,63.79,12001356,0.0,1.0
2022-11-30,62.01,63.68,61.75,63.61,63.61,30433938,0.44,1.0
