timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2023-03-10,105.54,107.0,103.74,104.06,104.06,3692518,0.0,1.0
2023-03-09,107.66,108.56,105.42,105.52,105.52,3463725,0.0,1.0
2023-03-08,107.44,107.77,106.18,107.16,107.16,3434665,0.0,1.0
2023-03-07,110.0,110.01,107.04,107.09,107.09,3372823,0.0,1.0
2023-03-06,111.4,111.62,109.68,109.93,109.93,2820795,0.0,1.0
2023-03-03,110.78,111.99,109.61,111.26,111.26,3040811,0.0,1.0
2023-03-02,109.75,110.24,107.715,109.9,109.9,7590784,0.0,1.0
2023-03-01,111.04,112.33,109.74,110.21,110.21,4914735,0.0,1.0
2023-02-28,108.12,108.92,107.25,107.74,107.74,3380517,0.0,1.0
2023-02-27,108.86,110.69,108.195,108.27,108.27,3555985,0.0,1.0
2023-02-24,108.11,108.54,106.7614,107.8,107.8,2862947,0.0,1.0
2023-02-23,109.7,110.29,108.01,108.91,108.91,2943789,0.0,1.0
2023-02-22,109.53,110.38,108.51,108.94,108.94,2655013,0.0,1.0
2023-02-21,112.0,112.3999,109.18,109.25,109.25,3889126,0.0,1.0
2023-02-17,111.96,113.04,110.68,112.99,112.99,2827942,0.0,1.0
2023-02-16,112.5,113.335,110.76,112.0,112.0,2695116,1.5,1.0
2023-02-15,113.65,114.82,113.2,114.79,113.27295154185,2531260,0.0,1.0
2023-02-14,114.79,115.08,112.95,114.21,112.700616740088,2462299,0.0,1.0
2023-02-13,114.37,115.62,113.8,115.28,113.756475770925,2247638,0.0,1.0
2023-02-10,113.23,114.22,112.7,113.88,112.374977973568,2274503,0.0,1.0
2023-02-09,116.43,116.79,112.455,112.93,111.437533039648,3601854,0.0,1.0
2023-02-08,116.17,116.69,115.01,115.25,113.726872246696,2511719,0.0,1.0
2023-02-07,115.82,117.21,114.77,116.9,115.355066079295,2182743,0.0,1.0
2023-02-06,116.79,117.26,115.88,116.5,114.960352422907,2487459,0.0,1.0
2023-02-03,118.93,119.23,116.79,117.49,115.937268722467,2682360,0.0,1.0
2023-02-02,116.09,120.85,115.51,120.29,118.700264317181,4917204,0.0,1.0
2023-02-01,114.55,116.74,113.65,115.86,114.328810572687,3100796,0.0,1.0
2023-01-31,113.15,115.08,112.3824,115.08,113.559118942731,5071217,0.0,1.0
2023-01-30,114.47,116.0,112.56,112.58,111.092158590308,5902886,0.0,1.0
2023-01-27,113.73,115.775,113.46,115.25,113.726872246696,4114472,0.0,1.0
2023-01-26,113.51,114.1,111.76,113.55,112.049339207048,4625624,0.0,1.0
2023-01-25,114.5,116.24,112.75,112.93,111.437533039648,5993235,0.0,1.0
2023-01-24,116.04,120.0,114.5,115.0,113.480176211454,10276456,0.0,1.0
2023-01-23,120.61,123.9,120.41,122.62,120.999471365639,3412184,0.0,1.0
2023-01-20,118.55,120.71,116.76,120.65,119.05550660793,4373522,0.0,1.0
2023-01-19,122.0,122.285,118.32,118.43,116.864845814978,4979742,0.0,1.0
2023-01-18,126.85,127.19,122.26,122.75,121.127753303965,4258480,0.0,1.0
2023-01-17,129.76,129.9,126.39,126.6,124.926872246696,3510879,0.0,1.0
2023-01-13,128.42,129.61,128.2,129.51,127.798414096916,1693354,0.0,1.0
2023-01-12,129.6,129.8161,127.79,129.35,127.640528634361,1839474,0.0,1.0
2023-01-11,128.93,129.19,127.62,129.12,127.413568281938,2013593,0.0,1.0
2023-01-10,127.07,128.19,126.7,128.13,126.436651982379,1648201,0.0,1.0
2023-01-09,127.0,129.46,126.11,126.79,125.11436123348,2871264,0.0,1.0
2023-01-06,124.66,127.13,123.75,126.72,125.045286343612,2417142,0.0,1.0
2023-01-05,124.21,124.57,122.46,122.96,121.334977973568,2606564,0.0,1.0
2023-01-04,123.35,125.29,122.71,125.15,123.496035242291,2769831,0.0,1.0
2023-01-03,121.52,122.635,120.37,122.47,120.851453744493,2612812,0.0,1.0
2022-12-30,119.65,120.03,118.51,119.92,118.335154185022,2096006,0.0,1.0
2022-12-29,118.87,120.86,118.5,120.57,118.976563876652,2060929,0.0,1.0
2022-12-28,120.35,121.0,118.25,118.29,116.726696035242,1961048,0.0,1.0
2022-12-27,120.14,120.83,119.16,120.22,118.631189427313,1811184,0.0,1.0
2022-12-23,120.79,121.0,117.8,120.14,118.552246696035,2609395,0.0,1.0
